item,token,tag,patent,partition,trainingTest
0,Fitting,O,1,1,training
1,room,O,1,1,training
2,management,O,1,1,training
3,and,O,1,1,training
4,occupancy,B-SOFTWARE,1,1,training
5,monitoring,I-SOFTWARE,1,1,training
6,system,I-SOFTWARE,1,1,training
7,for,O,1,1,training
8,retail,O,1,1,training
9,operations,O,1,1,training
10,having,O,1,1,training
11,fitting,O,1,1,training
12,rooms,O,1,1,training
13,wherein,O,1,1,training
14,the,O,1,1,training
15,system,O,1,1,training
16,if,O,1,1,training
17,capable,O,1,1,training
18,of,O,1,1,training
19,notifying,B-FUNCIONALIDADE,1,1,training
20,staff,I-FUNCIONALIDADE,1,1,training
21,of,O,1,1,training
22,fitting,O,1,1,training
23,room,O,1,1,training
24,occupancy,O,1,1,training
25,",",O,1,1,training
26,the,O,1,1,training
27,need,O,1,1,training
28,for,O,1,1,training
29,cleaning,O,1,1,training
30,",",O,1,1,training
31,and,O,1,1,training
32,/,O,1,1,training
33,or,O,1,1,training
34,the,O,1,1,training
35,need,O,1,1,training
36,for,O,1,1,training
37,customer,B-PESSOA,1,1,training
38,help,O,1,1,training
39,in,O,1,1,training
40,real,O,1,1,training
41,time,O,1,1,training
42,as,O,1,1,training
43,well,O,1,1,training
44,as,O,1,1,training
45,collecting,O,1,1,training
46,and,O,1,1,training
47,tracking,B-FUNCIONALIDADE,1,1,training
48,data,I-FUNCIONALIDADE,1,1,training
49,of,O,1,1,training
50,fitting,O,1,1,training
51,room,O,1,1,training
52,activity,O,1,1,training
53,according,O,1,1,training
54,to,O,1,1,training
55,preset,O,1,1,training
56,business,O,1,1,training
57,rules,O,1,1,training
58,.,O,1,1,training
59,The,O,1,1,training
60,system,O,1,1,training
61,further,O,1,1,training
62,assists,B-FUNCIONALIDADE,1,1,training
63,retail,I-FUNCIONALIDADE,1,1,training
64,operations,I-FUNCIONALIDADE,1,1,training
65,with,O,1,1,training
66,reduction,O,1,1,training
67,of,O,1,1,training
68,theft,O,1,1,training
69,incidents,O,1,1,training
70,",",O,1,1,training
71,improvement,O,1,1,training
72,of,O,1,1,training
73,conversion,O,1,1,training
74,rates,O,1,1,training
75,and,O,1,1,training
76,employee,O,1,1,training
77,compliance,O,1,1,training
78,rates,O,1,1,training
79,.,O,1,1,training
80,An,O,2,1,training
81,X,B-HARDWARE,2,1,training
82,-,I-HARDWARE,2,1,training
83,ray,I-HARDWARE,2,1,training
84,sensing,I-HARDWARE,2,1,training
85,apparatus,I-HARDWARE,2,1,training
86,includes,O,2,1,training
87,a,O,2,1,training
88,detector,O,2,1,training
89,array,O,2,1,training
90,configured,O,2,1,training
91,to,O,2,1,training
92,generate,B-FUNCIONALIDADE,2,1,training
93,a,I-FUNCIONALIDADE,2,1,training
94,plurality,I-FUNCIONALIDADE,2,1,training
95,of,I-FUNCIONALIDADE,2,1,training
96,signals,I-FUNCIONALIDADE,2,1,training
97,in,O,2,1,training
98,response,O,2,1,training
99,to,O,2,1,training
100,x,O,2,1,training
101,-,O,2,1,training
102,rays,O,2,1,training
103,incident,O,2,1,training
104,on,O,2,1,training
105,the,O,2,1,training
106,detector,O,2,1,training
107,array,O,2,1,training
108,during,O,2,1,training
109,an,O,2,1,training
110,exposure,O,2,1,training
111,period,O,2,1,training
112,",",O,2,1,training
113,a,O,2,1,training
114,high,B-HARDWARE,2,1,training
115,-,I-HARDWARE,2,1,training
116,clock,I-HARDWARE,2,1,training
117,logic,I-HARDWARE,2,1,training
118,device,I-HARDWARE,2,1,training
119,communicatively,O,2,1,training
120,coupled,O,2,1,training
121,to,O,2,1,training
122,the,O,2,1,training
123,detector,O,2,1,training
124,array,O,2,1,training
125,",",O,2,1,training
126,a,O,2,1,training
127,low,B-HARDWARE,2,1,training
128,-,I-HARDWARE,2,1,training
129,clock,I-HARDWARE,2,1,training
130,logic,I-HARDWARE,2,1,training
131,device,I-HARDWARE,2,1,training
132,communicatively,O,2,1,training
133,coupled,O,2,1,training
134,to,O,2,1,training
135,the,O,2,1,training
136,high,B-HARDWARE,2,1,training
137,-,I-HARDWARE,2,1,training
138,clock,I-HARDWARE,2,1,training
139,logic,I-HARDWARE,2,1,training
140,device,I-HARDWARE,2,1,training
141,",",O,2,1,training
142,an,O,2,1,training
143,accelerometer,B-HARDWARE,2,1,training
144,communicatively,O,2,1,training
145,coupled,O,2,1,training
146,to,O,2,1,training
147,the,O,2,1,training
148,low,B-HARDWARE,2,1,training
149,-,I-HARDWARE,2,1,training
150,clock,I-HARDWARE,2,1,training
151,logic,I-HARDWARE,2,1,training
152,device,I-HARDWARE,2,1,training
153,",",O,2,1,training
154,and,O,2,1,training
155,a,O,2,1,training
156,processor,B-HARDWARE,2,1,training
157,communicatively,O,2,1,training
158,coupled,O,2,1,training
159,to,O,2,1,training
160,the,O,2,1,training
161,high,B-HARDWARE,2,1,training
162,-,I-HARDWARE,2,1,training
163,clock,I-HARDWARE,2,1,training
164,logic,I-HARDWARE,2,1,training
165,device,I-HARDWARE,2,1,training
166,.,O,2,1,training
167,The,O,2,1,training
168,low,B-HARDWARE,2,1,training
169,-,I-HARDWARE,2,1,training
170,clock,I-HARDWARE,2,1,training
171,logic,I-HARDWARE,2,1,training
172,device,I-HARDWARE,2,1,training
173,is,O,2,1,training
174,configured,O,2,1,training
175,to,O,2,1,training
176,receive,B-FUNCIONALIDADE,2,1,training
177,an,I-FUNCIONALIDADE,2,1,training
178,acceleration,I-FUNCIONALIDADE,2,1,training
179,signal,I-FUNCIONALIDADE,2,1,training
180,from,O,2,1,training
181,the,O,2,1,training
182,accelerometer,B-HARDWARE,2,1,training
183,",",O,2,1,training
184,determine,O,2,1,training
185,that,O,2,1,training
186,the,O,2,1,training
187,acceleration,O,2,1,training
188,signal,O,2,1,training
189,corresponds,O,2,1,training
190,to,O,2,1,training
191,a,O,2,1,training
192,wake,O,2,1,training
193,gesture,O,2,1,training
194,",",O,2,1,training
195,and,O,2,1,training
196,",",O,2,1,training
197,in,O,2,1,training
198,response,O,2,1,training
199,to,O,2,1,training
200,determining,O,2,1,training
201,that,O,2,1,training
202,the,O,2,1,training
203,acceleration,O,2,1,training
204,signal,O,2,1,training
205,corresponds,O,2,1,training
206,to,O,2,1,training
207,the,O,2,1,training
208,wake,O,2,1,training
209,gesture,O,2,1,training
210,",",O,2,1,training
211,send,B-FUNCIONALIDADE,2,1,training
212,a,I-FUNCIONALIDADE,2,1,training
213,first,I-FUNCIONALIDADE,2,1,training
214,power,I-FUNCIONALIDADE,2,1,training
215,state,I-FUNCIONALIDADE,2,1,training
216,change,I-FUNCIONALIDADE,2,1,training
217,signal,I-FUNCIONALIDADE,2,1,training
218,to,O,2,1,training
219,the,O,2,1,training
220,processor,B-HARDWARE,2,1,training
221,and,O,2,1,training
222,a,O,2,1,training
223,second,O,2,1,training
224,power,O,2,1,training
225,state,O,2,1,training
226,change,O,2,1,training
227,signal,O,2,1,training
228,to,O,2,1,training
229,the,O,2,1,training
230,high,B-HARDWARE,2,1,training
231,-,I-HARDWARE,2,1,training
232,clock,I-HARDWARE,2,1,training
233,logic,I-HARDWARE,2,1,training
234,device,I-HARDWARE,2,1,training
235,.,O,2,1,training
236,Apparatuses,O,3,1,training
237,",",O,3,1,training
238,methods,O,3,1,training
239,and,O,3,1,training
240,storage,O,3,1,training
241,medium,O,3,1,training
242,associated,O,3,1,training
243,with,O,3,1,training
244,an,O,3,1,training
245,intelligent,B-HARDWARE,3,1,training
246,LED,I-HARDWARE,3,1,training
247,light,I-HARDWARE,3,1,training
248,apparatus,I-HARDWARE,3,1,training
249,are,O,3,1,training
250,disclosed,O,3,1,training
251,herein,O,3,1,training
252,.,O,3,1,training
253,In,O,3,1,training
254,embodiments,O,3,1,training
255,",",O,3,1,training
256,an,O,3,1,training
257,intelligent,B-HARDWARE,3,1,training
258,LED,I-HARDWARE,3,1,training
259,light,I-HARDWARE,3,1,training
260,apparatus,I-HARDWARE,3,1,training
261,may,O,3,1,training
262,include,O,3,1,training
263,a,O,3,1,training
264,communication,B-HARDWARE,3,1,training
265,interface,I-HARDWARE,3,1,training
266,",",O,3,1,training
267,a,O,3,1,training
268,processor,B-HARDWARE,3,1,training
269,",",O,3,1,training
270,a,O,3,1,training
271,body,O,3,1,training
272,that,O,3,1,training
273,encases,O,3,1,training
274,at,O,3,1,training
275,least,O,3,1,training
276,the,O,3,1,training
277,communication,B-HARDWARE,3,1,training
278,interface,I-HARDWARE,3,1,training
279,and,O,3,1,training
280,the,O,3,1,training
281,processor,B-HARDWARE,3,1,training
282,",",O,3,1,training
283,and,O,3,1,training
284,a,O,3,1,training
285,plurality,O,3,1,training
286,of,O,3,1,training
287,sensors,O,3,1,training
288,of,O,3,1,training
289,a,O,3,1,training
290,plurality,O,3,1,training
291,of,O,3,1,training
292,sensor,O,3,1,training
293,types,O,3,1,training
294,disposed,O,3,1,training
295,on,O,3,1,training
296,the,O,3,1,training
297,body,O,3,1,training
298,.,O,3,1,training
299,The,O,3,1,training
300,processor,B-HARDWARE,3,1,training
301,may,O,3,1,training
302,be,O,3,1,training
303,configured,O,3,1,training
304,to,O,3,1,training
305,receive,B-FUNCIONALIDADE,3,1,training
306,sensor,I-FUNCIONALIDADE,3,1,training
307,data,I-FUNCIONALIDADE,3,1,training
308,from,O,3,1,training
309,the,O,3,1,training
310,sensors,B-HARDWARE,3,1,training
311,",",O,3,1,training
312,and,O,3,1,training
313,transmit,B-FUNCIONALIDADE,3,1,training
314,the,I-FUNCIONALIDADE,3,1,training
315,sensor,I-FUNCIONALIDADE,3,1,training
