item	token	tag	start	end	document	partition	sentence	trainingTest
1289	Examples	O	0	13	12	1	37	training
1290	described	O	14	23	12	1	37	training
1291	herein	O	24	30	12	1	37	training
1292	include	O	31	38	12	1	37	training
1293	mobility	B-HARDWARE	39	47	12	1	37	training
1294	devices	I-HARDWARE	48	55	12	1	37	training
1295	that	O	56	60	12	1	37	training
1296	may	O	61	64	12	1	37	training
1297	include	O	65	72	12	1	37	training
1298	a	O	73	74	12	1	37	training
1299	variety	O	75	82	12	1	37	training
1300	of	O	83	85	12	1	37	training
1301	enhanced	O	86	94	12	1	37	training
1302	features	O	95	103	12	1	37	training
1303	. 	O	103	104	12	1	37	training
1304	For	O	105	108	12	1	38	training
1305	example	O	109	116	12	1	38	training
1306	,	O	116	117	12	1	38	training
1307	mobility	B-HARDWARE	118	126	12	1	38	training
1308	devices	I-HARDWARE	127	134	12	1	38	training
1309	are	O	135	138	12	1	38	training
1310	described	O	139	148	12	1	38	training
1311	which	O	149	154	12	1	38	training
1312	may	O	155	158	12	1	38	training
1313	more	O	159	163	12	1	38	training
1314	accurately	O	164	174	12	1	38	training
1315	assess	B-FUNCIONALIDADE	175	181	12	1	38	training
1316	a	I-FUNCIONALIDADE	182	183	12	1	38	training
1317	fall	I-FUNCIONALIDADE	184	188	12	1	38	training
1318	of	I-FUNCIONALIDADE	189	191	12	1	38	training
1319	a	I-FUNCIONALIDADE	192	193	12	1	38	training
1320	user	I-FUNCIONALIDADE	194	198	12	1	38	training
1321	by	O	199	201	12	1	38	training
1322	determining	O	202	213	12	1	38	training
1323	if	O	214	216	12	1	38	training
1324	a	O	217	218	12	1	38	training
1325	user	B-PESSOA	219	223	12	1	38	training
1326	is	O	224	226	12	1	38	training
1327	in	O	227	229	12	1	38	training
1328	proximity	O	230	239	12	1	38	training
1329	to	O	240	242	12	1	38	training
1330	a	O	243	244	12	1	38	training
1331	portion	O	245	252	12	1	38	training
1332	of	O	253	255	12	1	38	training
1333	the	O	256	259	12	1	38	training
1334	mobility	B-HARDWARE	260	268	12	1	38	training
1335	device	I-HARDWARE	269	275	12	1	38	training
1336	after	O	276	281	12	1	38	training
1337	a	O	282	283	12	1	38	training
1338	fall	O	284	288	12	1	38	training
1339	of	O	289	291	12	1	38	training
1340	the	O	292	295	12	1	38	training
1341	mobility	B-HARDWARE	296	304	12	1	38	training
1342	device	I-HARDWARE	305	311	12	1	38	training
1343	is	O	312	314	12	1	38	training
1344	detected	O	315	323	12	1	38	training
1345	. 	O	323	324	12	1	38	training
1346	Examples	O	325	333	12	1	39	training
1347	of	O	334	336	12	1	39	training
1348	wall	O	337	341	12	1	39	training
1349	mounted	O	342	349	12	1	39	training
1350	chargers	O	350	358	12	1	39	training
1351	for	O	359	362	12	1	39	training
1352	mobility	B-HARDWARE	363	371	12	1	39	training
1353	devices	I-HARDWARE	372	379	12	1	39	training
1354	are	O	380	383	12	1	39	training
1355	also	O	384	388	12	1	39	training
1356	described	O	389	398	12	1	39	training
1357	. 	O	398	399	12	1	39	training
1358	Moreover	O	400	408	12	1	40	training
1359	,	O	408	409	12	1	40	training
1360	examples	O	410	418	12	1	40	training
1361	of	O	419	421	12	1	40	training
1362	mechanisms	O	422	432	12	1	40	training
1363	for	O	433	436	12	1	40	training
1364	detaching	O	437	446	12	1	40	training
1365	and	O	447	450	12	1	40	training
1366	attaching	O	451	460	12	1	40	training
1367	tips	O	461	465	12	1	40	training
1368	to	O	466	468	12	1	40	training
1369	mobility	B-HARDWARE	469	477	12	1	40	training
1370	devices	I-HARDWARE	478	485	12	1	40	training
1371	(	O	486	487	12	1	40	training
1372	e	O	487	488	12	1	40	training
1373	. 	O	488	489	12	1	40	training
1374	g	O	489	490	12	1	41	training
1375	. 	O	490	491	12	1	41	training
1376	canes	O	492	497	12	1	42	training
1377	)	O	497	498	12	1	42	training
1378	are	O	499	502	12	1	42	training
1379	described	O	503	512	12	1	42	training
1380	which	O	513	518	12	1	42	training
1381	may	O	519	522	12	1	42	training
1382	facilitate	O	523	533	12	1	42	training
1383	swapping	O	534	542	12	1	42	training
1384	of	O	543	545	12	1	42	training
1385	different	O	546	555	12	1	42	training
1386	tips	O	556	560	12	1	42	training
1387	for	O	561	564	12	1	42	training
1388	different	O	565	574	12	1	42	training
1389	situations	O	575	585	12	1	42	training
1390	. 	O	585	586	12	1	42	training
3011	Provided	O	0	13	27	1	81	training
3012	is	O	14	16	27	1	81	training
3013	a	O	17	18	27	1	81	training
3014	content	O	19	26	27	1	81	training
3015	visualizing	O	27	38	27	1	81	training
3016	method	O	39	45	27	1	81	training
3017	and	O	46	49	27	1	81	training
3018	apparatus	O	50	59	27	1	81	training
3019	. 	O	59	60	27	1	81	training
3020	The	O	61	64	27	1	82	training
3021	content	B-HARDWARE	65	72	27	1	82	training
3022	visualizing	I-HARDWARE	73	84	27	1	82	training
3023	apparatus	I-HARDWARE	85	94	27	1	82	training
3024	generates	B-FUNCIONALIDADE	95	104	27	1	82	training
3025	an	I-FUNCIONALIDADE	105	107	27	1	82	training
