item,token,tag,sentence,start,end,document,partition,trainingTest
0,1_32_This,O,0,0,9,1,7,training
1,disclosure,O,0,10,20,1,7,training
2,relates,O,0,21,28,1,7,training
3,generally,O,0,29,38,1,7,training
4,to,O,0,39,41,1,7,training
5,method,O,0,42,48,1,7,training
6,and,O,0,49,52,1,7,training
7,system,O,0,53,59,1,7,training
8,for,O,0,60,63,1,7,training
9,detecting,B-FUNCIONALIDADE,0,64,73,1,7,training
10,on,I-FUNCIONALIDADE,0,74,76,1,7,training
11,-,I-FUNCIONALIDADE,0,76,77,1,7,training
12,street,I-FUNCIONALIDADE,0,77,83,1,7,training
13,parking,I-FUNCIONALIDADE,0,84,91,1,7,training
14,violations,I-FUNCIONALIDADE,0,92,102,1,7,training
15,.,O,0,102,103,1,7,training
16,The,O,1,0,3,1,7,training
17,method,O,1,4,10,1,7,training
18,include,O,1,11,18,1,7,training
19,capturing,O,1,19,28,1,7,training
20,",",O,1,28,29,1,7,training
21,by,O,1,30,32,1,7,training
22,using,O,1,33,38,1,7,training
23,an,O,1,39,41,1,7,training
24,media,O,1,42,47,1,7,training
25,capturing,O,1,48,57,1,7,training
26,device,O,1,58,64,1,7,training
27,embodied,B-FUNCIONALIDADE,1,65,73,1,7,training
28,in,I-FUNCIONALIDADE,1,74,76,1,7,training
29,an,I-FUNCIONALIDADE,1,77,79,1,7,training
30,electronic,I-FUNCIONALIDADE,1,80,90,1,7,training
31,device,I-FUNCIONALIDADE,1,91,97,1,7,training
32,mounted,O,1,98,105,1,7,training
33,in,O,1,106,108,1,7,training
34,a,O,1,109,110,1,7,training
35,vehicle,O,1,111,118,1,7,training
36,",",O,1,118,119,1,7,training
37,a,O,1,120,121,1,7,training
38,video,O,1,122,127,1,7,training
39,stream,O,1,128,134,1,7,training
40,of,O,1,135,137,1,7,training
41,a,O,1,138,139,1,7,training
42,scene,O,1,140,145,1,7,training
43,during,B-HARDWARE,1,146,152,1,7,training
44,a,I-HARDWARE,1,153,154,1,7,training
45,trip,I-HARDWARE,1,155,159,1,7,training
46,of,I-HARDWARE,1,160,162,1,7,training
47,the,I-HARDWARE,1,163,166,1,7,training
48,vehicle,O,1,167,174,1,7,training
49,.,O,1,174,175,1,7,training
50,The,O,2,0,3,1,7,training
51,video,O,2,4,9,1,7,training
52,stream,O,2,10,16,1,7,training
53,is,O,2,17,19,1,7,training
54,processed,O,2,20,29,1,7,training
55,at,O,2,30,32,1,7,training
56,the,O,2,33,36,1,7,training
57,electronic,O,2,37,47,1,7,training
58,device,O,2,48,54,1,7,training
59,to,O,2,55,57,1,7,training
60,identify,O,2,58,66,1,7,training
61,target,B-FUNCIONALIDADE,2,67,73,1,7,training
62,objects,I-FUNCIONALIDADE,2,74,81,1,7,training
63,such,I-FUNCIONALIDADE,2,82,86,1,7,training
64,as,I-FUNCIONALIDADE,2,87,89,1,7,training
65,no,I-FUNCIONALIDADE,2,90,92,1,7,training
66,-,I-FUNCIONALIDADE,2,92,93,1,7,training
67,parking,I-FUNCIONALIDADE,2,93,100,1,7,training
68,signage,O,2,101,108,1,7,training
69,and,O,2,109,112,1,7,training
70,vehicles,O,2,113,121,1,7,training
71,parked,O,2,122,128,1,7,training
72,in,O,2,129,131,1,7,training
73,the,O,2,132,135,1,7,training
74,vicinity,O,2,136,144,1,7,training
75,thereof,O,2,145,152,1,7,training
76,.,B-HARDWARE,2,152,153,1,7,training
77,A,O,3,0,1,1,7,training
78,meta,O,3,2,6,1,7,training
79,-,O,3,6,7,1,7,training
80,information,O,3,7,18,1,7,training
81,associated,O,3,19,29,1,7,training
82,with,O,3,30,34,1,7,training
83,the,O,3,35,38,1,7,training
84,target,O,3,39,45,1,7,training
85,objects,O,3,46,53,1,7,training
86,is,O,3,54,56,1,7,training
87,stored,O,3,57,63,1,7,training
88,in,B-FUNCIONALIDADE,3,64,66,1,7,training
89,form,I-FUNCIONALIDADE,3,67,71,1,7,training
90,of,I-FUNCIONALIDADE,3,72,74,1,7,training
91,a,I-FUNCIONALIDADE,3,75,76,1,7,training
92,short,I-FUNCIONALIDADE,3,77,82,1,7,training
93,-,I-FUNCIONALIDADE,3,82,83,1,7,training
94,term,I-FUNCIONALIDADE,3,83,87,1,7,training
95,historian,I-FUNCIONALIDADE,3,88,97,1,7,training
96,in,I-FUNCIONALIDADE,3,98,100,1,7,training
97,a,I-FUNCIONALIDADE,3,101,102,1,7,training
98,repository,O,3,103,113,1,7,training
99,associated,O,3,114,124,1,7,training
100,with,O,3,125,129,1,7,training
101,the,O,3,130,133,1,7,training
102,electronic,O,3,134,144,1,7,training
103,device,O,3,145,151,1,7,training
104,.,B-HARDWARE,3,151,152,1,7,training
105,The,O,4,0,3,1,7,training
106,absolute,O,4,4,12,1,7,training
107,locations,O,4,13,22,1,7,training
108,of,O,4,23,25,1,7,training
109,the,O,4,26,29,1,7,training
110,target,O,4,30,36,1,7,training
111,objects,O,4,37,44,1,7,training
112,are,O,4,45,48,1,7,training
113,determined,O,4,49,59,1,7,training
114,and,O,4,60,63,1,7,training
115,the,B-FUNCIONALIDADE,4,64,67,1,7,training
116,historian,I-FUNCIONALIDADE,4,68,77,1,7,training
117,is,I-FUNCIONALIDADE,4,78,80,1,7,training
118,updated,I-FUNCIONALIDADE,4,81,88,1,7,training
119,with,I-FUNCIONALIDADE,4,89,93,1,7,training
120,the,I-FUNCIONALIDADE,4,94,97,1,7,training
121,values,O,4,98,104,1,7,training
122,of,O,4,105,107,1,7,training
123,the,O,4,108,111,1,7,training
124,absolute,O,4,112,120,1,7,training
125,locations,O,4,121,130,1,7,training
126,.,O,4,130,131,1,7,training
127,A,O,5,0,1,1,7,training
128,set,O,5,2,5,1,7,training
129,of,O,5,6,8,1,7,training
130,unique,O,5,9,15,1,7,training
131,target,O,5,16,22,1,7,training
132,objects,O,5,23,30,1,7,training
133,is,O,5,31,33,1,7,training
134,determined,O,5,34,44,1,7,training
135,from,O,5,45,49,1,7,training
136,amongst,O,5,50,57,1,7,training
137,the,O,5,58,61,1,7,training
138,target,O,5,62,68,1,7,training
139,objects,B-FUNCIONALIDADE,5,69,76,1,7,training
140,and,I-FUNCIONALIDADE,5,77,80,1,7,training
141,a,I-FUNCIONALIDADE,5,81,82,1,7,training
142,meta,I-FUNCIONALIDADE,5,83,87,1,7,training
143,-,I-FUNCIONALIDADE,5,87,88,1,7,training
144,information,I-FUNCIONALIDADE,5,88,99,1,7,training
145,associated,O,5,100,110,1,7,training
146,with,O,5,111,115,1,7,training
147,the,O,5,116,119,1,7,training
148,unique,O,5,120,126,1,7,training
149,objects,O,5,127,134,1,7,training
150,is,O,5,135,137,1,7,training
151,sent,O,5,138,142,1,7,training
152,to,O,5,143,145,1,7,training
153,a,B-HARDWARE,5,146,147,1,7,training
154,cloud,I-HARDWARE,5,148,153,1,7,training
